sub          task      run    dummy_scans    fallback_registration    fd_mean              fd_perc              mean_gm_tsnr        scan_start    sdc_method
gutslei0134  sddt      1      0              False                    0.18327152658706466  5.970149253731343    94.93566346992371   0.0           None
gutslei0134  empmovie  1      0              False                    0.21235006309692306  5.0                  103.21838589779603  0.0           None
gutslei0134  sddt      2      0              False                    0.174737184081592    4.477611940298507    114.73715997428296  0.0           None
gutslei0134  reward    1      0              False                    0.3674882167988166   20.118343195266274   40.335559177985935  0.0           None
gutslei0134  reward    2      0              False                    0.5209225179289941   32.544378698224854   81.48226197686573   0.0           None
gutslei0126  sddt      3      0              False                    0.2914321549855072   13.768115942028986   63.23564863262273   0.0           None
gutslei0126  reward    1      0              False                    0.28415966666248516  8.875739644970414    70.69075373574037   0.0           None
gutslei0126  sddt      1      0              False                    0.3166505622935323   17.91044776119403    74.63895169100672   0.0           None
gutslei0126  sddt      2      0              False                    0.3566299390557214   13.432835820895523   73.10889808359137   0.0           None
gutslei0126  empmovie  1      0              False                    0.16747407721884613  2.6923076923076925   96.6123560119707    0.0           None
gutslei0126  reward    2      0              False                    0.33871357295857984  9.467455621301776    56.30277296876315   0.0           None
